feature,importance
numeric__int_rate,0.20755132142826632
categorical__grade_A,0.12275510995793432
numeric__term,0.0906316938975869
categorical__grade_B,0.056084092082148845
numeric__loan_to_income,0.048020772090794146
numeric__installment_to_income,0.046249904581100044
numeric__dti,0.0409722467404252
categorical__grade_E,0.027464629877585675
categorical__grade_D,0.025698552195243363
categorical__sub_grade_A1,0.022371606166408722
numeric__installment,0.021907899485950674
numeric__annual_inc,0.02057490658923686
numeric__revol_bal,0.020131149185123376
numeric__loan_amnt,0.019859817540458333
categorical__grade_C,0.019078819066600663
numeric__revol_util,0.01732272898517527
categorical__home_ownership_MORTGAGE,0.015973747454128016
categorical__grade_F,0.01400036839457808
categorical__home_ownership_RENT,0.012941053673254658
numeric__total_acc,0.012653700683298586
